perch_label_number,common_name,scientific_name
10713,Black-bellied Plover,Pluvialis squatarola
10726,Great Crested Grebe,Podiceps cristatus
10901,Hoary-headed Grebe,Poliocephalus poliocephalus
10998,New Zealand Fernbird,Poodytes punctatus
11019,South Island Takahe,Porphyrio hochstetteri
11022,Australasian Swamphen,Porphyrio melanotus
11029,Australian Crake,Porzana fluminea
11142,White-chinned Petrel,Procellaria aequinoctialis
11143,Gray Petrel,Procellaria cinerea
11144,Parkinson's Petrel,Procellaria parkinsoni
11145,Westland Petrel,Procellaria westlandica
11186,Tui,Prosthemadera novaeseelandiae
11195,Dunnock,Prunella modularis
11276,Tahiti Petrel,Pseudobulweria rostrata
11404,Rose-ringed Parakeet,Psittacula krameri
11475,Phoenix Petrel,Pterodroma alba
11477,Chatham Islands Petrel,Pterodroma axillaris
11480,White-necked Petrel,Pterodroma cervicalis
11481,Cook's Petrel,Pterodroma cookii
11482,Juan Fernandez Petrel,Pterodroma externa
11484,Gray-faced Petrel,Pterodroma gouldi
11485,Herald Petrel,Pterodroma heraldica
11488,Mottled Petrel,Pterodroma inexpectata
11489,White-headed Petrel,Pterodroma lessonii
11490,Gould's Petrel,Pterodroma leucoptera
11492,Magenta Petrel,Pterodroma magentae
11493,Soft-plumaged Petrel,Pterodroma mollis
11494,Kermadec Petrel,Pterodroma neglecta
11495,Black-winged Petrel,Pterodroma nigripennis
11498,Providence Petrel,Pterodroma solandri
11600,Rose-crowned Fruit-Dove,Ptilinopus regina
11660,Little Shearwater,Puffinus assimilis
11665,Fluttering Shearwater,Puffinus gavia
11666,Hutton's Shearwater,Puffinus huttoni
11669,Christmas Shearwater,Puffinus nativitatis
11670,Newell's Shearwater,Puffinus newelli
11673,Manx Shearwater,Puffinus puffinus
11706,Red-vented Bulbul,Pycnonotus cafer
11737,Adelie Penguin,Pygoscelis adeliae
11957,Red-necked Avocet,Recurvirostra novaehollandiae
12079,New Zealand Fantail,Rhipidura fuliginosa
12519,Channel-billed Cuckoo,Scythrops novaehollandiae
12742,Northern Shoveler,Spatula clypeata
12749,Australasian Shoveler,Spatula rhynchotis
12793,Magellanic Penguin,Spheniscus magellanicus
12816,Spotted Dove,Spilopelia chinensis
12974,Brown Skua,Stercorarius antarcticus
12976,Long-tailed Jaeger,Stercorarius longicaudus
12977,South Polar Skua,Stercorarius maccormicki
12978,Parasitic Jaeger,Stercorarius parasiticus
12979,Pomarine Jaeger,Stercorarius pomarinus
12986,Common Tern,Sterna hirundo
12987,Arctic Tern,Sterna paradisaea
12989,White-fronted Tern,Sterna striata
12990,Black-naped Tern,Sterna sumatrana
12996,Little Tern,Sternula albifrons
13000,Australian Fairy Tern,Sternula nereis
13066,African Collared-Dove,Streptopelia roseogrisea
13078,Kakapo,Strigops habroptilus
13144,European Starling,Sturnus vulgaris
13154,Masked Booby,Sula dactylatra
13156,Brown Booby,Sula leucogaster
13158,Red-footed Booby,Sula sula
13286,Brown Quail,Synoicus ypsilophorus
13312,Australasian Grebe,Tachybaptus novaehollandiae
13363,Australian Shelduck,Tadorna tadornoides
13364,Paradise Shelduck,Tadorna variegata
13589,Buller's Albatross,Thalassarche bulleri
13590,Indian Yellow-nosed Albatross,Thalassarche carteri
13591,White-capped Albatross,Thalassarche cauta
13593,Chatham Albatross,Thalassarche eremita
13594,Black-browed Albatross,Thalassarche melanophris
13595,Salvin's Albatross,Thalassarche salvini
13598,Great Crested Tern,Thalasseus bergii
13603,Antarctic Petrel,Thalassoica antarctica
13664,Black-fronted Dotterel,Thinornis melanops
13665,Shore Plover,Thinornis novaeseelandiae
13691,Australian Ibis,Threskiornis molucca
13788,Sacred Kingfisher,Todiramphus sanctus
13912,Black-tailed Nativehen,Tribonyx ventralis
