common_name,scientific_name,status,Perch_2.0
Helmeted Guineafowl,Numida meleagris,Introduced species,Y
Herald Petrel,Pterodroma heraldica,Rare/Accidental,Y
Hoary-headed Grebe,Poliocephalus poliocephalus,Rare/Accidental,Y
House Sparrow,Passer domesticus,Introduced species,Y
Hudsonian Godwit,Limosa haemastica,Rare/AccidentalÿVulnerable,Y
Hudsonian Whimbrel,Numenius hudsonicus,,
Huia,Heteralocha acutirostris,Endemic (country/region)ÿExtinct,
Hutton's Shearwater,Puffinus huttoni,Endangered,Y
Indian Peafowl,Pavo cristatus,Introduced species,Y
Indian Yellow-nosed Albatross,Thalassarche carteri,Rare/AccidentalÿEndangered,Y
Juan Fernandez Petrel,Pterodroma externa,Rare/AccidentalÿVulnerable,Y
Kakapo,Strigops habroptilus,Endemic (country/region)ÿCritically endangered,Y
Kea,Nestor notabilis,EndemicÿEndangered,Y
Kelp Gull,Larus dominicanus,,Y
Kerguelen Petrel,Aphrodroma brevirostris,Rare/Accidental,Y
Kermadec Petrel,Pterodroma neglecta,Rare/Accidental,Y
King Penguin,Aptenodytes patagonicus,Rare/Accidental,Y
Latham's Snipe,Gallinago hardwickii,Rare/AccidentalÿNear-threatened,Y
Laughing Gull,Leucophaeus atricilla,Rare/Accidental,Y
Laughing Kookaburra,Dacelo novaeguineae,Introduced species,Y
Laughing Owl,Ninox albifacies,Endemic (country/region)ÿExtinct,
Laysan Albatross,Phoebastria immutabilis,Rare/AccidentalÿNear-threatened,Y
Leach's Storm-Petrel,Hydrobates leucorhous,Rare/AccidentalÿVulnerable,Y
Least Sandpiper,Calidris minutilla,Rare/AccidentalÿNear-threatened,Y
Lesser Frigatebird,Fregata ariel,Rare/Accidental,
Lesser Yellowlegs,Tringa flavipes,Rare/AccidentalÿVulnerable,Y
Light-mantled Albatross,Phoebetria palpebrata,Rare/AccidentalÿNear-threatened,Y
Little Black Cormorant,Phalacrocorax sulcirostris,,Y
Little Bronze-Cuckoo,Chalcites minutillus,Rare/Accidental,Y
Little Curlew,Numenius minutus,Rare/Accidental,Y
Little Egret,Egretta garzetta,,Y
Little Owl,Athene noctua,Introduced species,Y
Little Penguin,Eudyptula minor,,Y
Little Pied Cormorant,Microcarbo melanoleucos,,Y
Little Shearwater,Puffinus assimilis,,Y
Little Spotted Kiwi,Apteryx owenii,Endemic (country/region)ÿNear-threatened,Y
Little Stint,Calidris minuta,Rare/Accidental,Y
Little Tern,Sternula albifrons,,Y
Long-tailed Jaeger,Stercorarius longicaudus,Rare/Accidental,Y
Long-tailed Koel,Urodynamis taitensis,Endemic (country/region),Y
Magellanic Penguin,Spheniscus magellanicus,Rare/Accidental,Y
Magenta Petrel,Pterodroma magentae,Critically endangered,Y
Malherbe's Parakeet,Cyanoramphus malherbi,Endemic (country/region)ÿCritically endangered,Y
Mallard,Anas platyrhynchos,Introduced species,Y
Maned Duck,Chenonetta jubata,Rare/Accidental,Y
Manx Shearwater,Puffinus puffinus,Rare/Accidental,Y
Marsh Sandpiper,Tringa stagnatilis,Rare/Accidental,Y
Masked Booby,Sula dactylatra,Rare/Accidental,Y
Masked Lapwing,Vanellus miles,,Y
Masked Woodswallow,Artamus personatus,Rare/Accidental,Y
Morepork,Ninox novaeseelandiae,,Y
Moseley's Rockhopper Penguin,Eudyptes moseleyi,Rare/AccidentalÿEndangered,Y
Mottled Petrel,Pterodroma inexpectata,Rare/AccidentalÿNear-threatened,Y
Mute Swan,Cygnus olor,Introduced species,Y
Nankeen Kestrel,Falco cenchroides,Rare/Accidental,Y
Nankeen Night Heron,Nycticorax caledonicus,Rare/Accidental,Y
New Zealand Bellbird,Anthornis melanura,Endemic (country/region),Y
New Zealand Bittern,Botaurus novaezelandiae,Endemic (country/region)ÿExtinct,
New Zealand Falcon,Falco novaeseelandiae,Endemic (country/region),Y
New Zealand Fantail,Rhipidura fuliginosa,Endemic (country/region),Y
New Zealand Fernbird,Poodytes punctatus,Endemic (country/region),Y
New Zealand Grebe,Poliocephalus rufopectus,Endemic (country/region),
New Zealand Kaka,Nestor meridionalis,Endemic (country/region)ÿVulnerable,Y
New Zealand King Shag,Leucocarbo carunculatus,Endemic (country/region)ÿVulnerable,Y
New Zealand Pigeon,Hemiphaga novaeseelandiae,,Y
New Zealand Pipit,Anthus novaeseelandiae,Endemic (country/region),Y
New Zealand Quail,Coturnix novaezelandiae,Endemic (country/region)ÿExtinct,
New Zealand Scaup,Aythya novaeseelandiae,Endemic (country/region),Y
New Zealand Storm-Petrel,Fregetta maoriana,Endemic (country/region)ÿCritically endangeredÿ(possibly extinct),
Newell's Shearwater,Puffinus newelli,Rare/AccidentalÿCritically endangered,Y
North Island Brown Kiwi,Apteryx mantelli,Endemic (country/region)ÿVulnerable,Y
North Island Kokako,Callaeas wilsoni,Endemic (country/region),Y
North Island Piopio,Turnagra tanagra,Endemic (country/region)ÿExtinct,
North Island Robin,Petroica longipes,Endemic (country/region),Y
North Island Saddleback,Philesturnus rufusater,Endemic (country/region)ÿNear-threatened,Y
North Island Snipe,Coenocorypha barrierensis,Endemic (country/region)ÿExtinct,
North Island Takahe,Porphyrio mantelli,Endemic (country/region)ÿExtinct,
Northern Bobwhite,Colinus virginianus,Introduced speciesÿNear-threatened,Y
Northern Giant-Petrel,Macronectes halli,,Y
Northern Royal Albatross,Diomedea sanfordi,Endangered,Y
Northern Shoveler,Spatula clypeata,Rare/Accidental,Y
Okarito Brown Kiwi,Apteryx rowi,Endemic (country/region)ÿVulnerable,Y
Oriental Cuckoo,Cuculus optatus,Rare/Accidental,Y
Oriental Plover,Anarhynchus veredus,Rare/Accidental,Y
Oriental Pratincole,Glareola maldivarum,Rare/Accidental,Y
Pacific Black Duck,Anas superciliosa,,Y
Pacific Golden-Plover,Pluvialis fulva,,Y
Pacific Gull,Larus pacificus,Rare/Accidental,Y
Pacific Heron,Ardea pacifica,Rare/Accidental,Y
Pacific Reef-Heron,Egretta sacra,,Y
Pacific Swift,Apus pacificus,Rare/Accidental,Y
Pallid Cuckoo,Heteroscenes pallidus,Rare/Accidental,Y
Paradise Shelduck,Tadorna variegata,Endemic (country/region),Y
Parasitic Jaeger,Stercorarius parasiticus,,Y
Parkinson's Petrel,Procellaria parkinsoni,Endemic (country/region)ÿVulnerable,Y
Pectoral Sandpiper,Calidris melanotos,Rare/Accidental,Y
Phoenix Petrel,Pterodroma alba,Rare/AccidentalÿVulnerable,Y
Pied Cormorant,Phalacrocorax varius,,Y
Pied Stilt,Himantopus leucocephalus,,Y
Pink-eared Duck,Malacorhynchus membranaceus,Rare/Accidental,Y
Pink-footed Shearwater,Ardenna creatopus,Rare/AccidentalÿVulnerable,Y
Pintado Petrel,Daption capense,,Y
Pipipi,Mohoua novaeseelandiae,Endemic (country/region),Y
Plumed Egret,Ardea plumifera,Rare/Accidental,
Plumed Whistling-Duck,Dendrocygna eytoni,Rare/Accidental,Y
Pomarine Jaeger,Stercorarius pomarinus,,Y
Providence Petrel,Pterodroma solandri,Rare/Accidental,Y
Pycroft's Petrel,Pterodroma pycrofti,Endemic (country/region)ÿVulnerable,
Red Knot,Calidris canutus,Near-threatened,Y
Red Phalarope,Phalaropus fulicarius,Rare/Accidental,Y
Red Wattlebird,Anthochaera carunculata,Rare/Accidental,Y
Red-breasted Dotterel,Anarhynchus obscurus,Endemic (country/region),Y
Red-capped Plover,Anarhynchus ruficapillus,Rare/Accidental,Y
Red-crowned Parakeet,Cyanoramphus novaezelandiae,,Y
Red-footed Booby,Sula sula,Rare/Accidental,Y
Red-kneed Dotterel,Erythrogonys cinctus,Rare/Accidental,Y
Red-necked Avocet,Recurvirostra novaehollandiae,Rare/Accidental,Y
Red-necked Phalarope,Phalaropus lobatus,Rare/Accidental,Y
Red-necked Stint,Calidris ruficollis,Near-threatened,Y
Redpoll,Acanthis flammea,Introduced species,Y
Red-tailed Tropicbird,Phaethon rubricauda,Rare/Accidental,Y
Red-vented Bulbul,Pycnonotus cafer,Introduced species,Y
Rifleman,Acanthisitta chloris,Endemic (country/region),Y
Ring-necked Pheasant,Phasianus colchicus,Introduced species,Y
Rock Pigeon,Columba livia,Introduced species,Y
Rook,Corvus frugilegus,Introduced species,Y
Rose-crowned Fruit-Dove,Ptilinopus regina,Rare/Accidental,Y
Rose-ringed Parakeet,Psittacula krameri,Introduced species,Y
Royal Penguin,Eudyptes schlegeli,Rare/Accidental,Y
Royal Spoonbill,Platalea regia,,Y
Ruddy Turnstone,Arenaria interpres,Near-threatened,Y
Ruff,Calidris pugnax,Rare/Accidental,Y
Sacred Kingfisher,Todiramphus sanctus,,Y
Salvin's Albatross,Thalassarche salvini,Vulnerable,Y
Salvin's Prion,Pachyptila salvini,Rare/Accidental,
Sanderling,Calidris alba,Rare/Accidental,Y
Satin Flycatcher,Myiagra cyanoleuca,Rare/Accidental,Y
Semipalmated Plover,Charadrius semipalmatus,Rare/Accidental,Y
Sharp-tailed Sandpiper,Calidris acuminata,Vulnerable,Y
